Dist,HeadCount,Serviceability
AK Pharma - Belgaum,0,26.666666666666668
AK Pharma - Belgaum,1,38.78787878787879
AK Pharma - Belgaum,2,65.15151515151516
AK Pharma - Belgaum,3,79.6969696969697
AK Pharma - Belgaum,4,91.21212121212122
AK Pharma - Belgaum,5,99.0909090909091
AK Pharma - Belgaum,6,100.0
Aayush Pharma - Guwahati,0,28.055555555555557
Aayush Pharma - Guwahati,1,76.38888888888889
Aayush Pharma - Guwahati,2,96.38888888888889
Aayush Pharma - Guwahati,3,100.0
Aryan Wellness,0,25.416666666666664
Aryan Wellness,1,37.5
Aryan Wellness,2,40.97222222222222
Aryan Wellness,3,42.083333333333336
Aryan Wellness,4,43.05555555555556
Aryan Wellness,5,43.75
Aryan Wellness,6,44.72222222222222
Aryan Wellness,7,46.80555555555556
Aryan Wellness,8,48.05555555555556
Aryan Wellness,9,49.44444444444444
Aryan Wellness,10,51.94444444444445
Aryan Wellness,11,54.861111111111114
Aryan Wellness,12,57.638888888888886
Aryan Wellness,13,61.38888888888889
Aryan Wellness,14,64.72222222222223
Aryan Wellness,15,67.08333333333333
Aryan Wellness,16,69.16666666666667
Aryan Wellness,17,70.69444444444444
Aryan Wellness,18,72.22222222222221
Aryan Wellness,19,73.75
Aryan Wellness,20,75.27777777777777
Aryan Wellness,21,76.94444444444444
Aryan Wellness,22,78.33333333333333
Aryan Wellness,23,80.83333333333333
Aryan Wellness,24,81.94444444444444
Aryan Wellness,25,82.5
Aryan Wellness,26,83.33333333333334
Aryan Wellness,27,84.30555555555556
Aryan Wellness,28,85.55555555555556
Aryan Wellness,29,86.38888888888889
Aryan Wellness,30,87.5
Aryan Wellness,31,89.02777777777777
Aryan Wellness,32,90.0
Aryan Wellness,33,91.38888888888889
Aryan Wellness,34,92.36111111111111
Aryan Wellness,35,93.05555555555556
Aryan Wellness,36,94.02777777777777
Aryan Wellness,37,95.69444444444444
Aryan Wellness,38,96.11111111111111
Aryan Wellness,39,96.80555555555556
Aryan Wellness,40,97.63888888888889
Aryan Wellness,41,98.19444444444444
Aryan Wellness,42,98.61111111111111
Aryan Wellness,43,98.75
Aryan Wellness,44,99.16666666666667
Aryan Wellness,45,99.58333333333333
Aryan Wellness,47,99.86111111111111
Aryan Wellness,48,100.0
Ashirwad Distributors - Ahmedabad,0,32.666666666666664
Ashirwad Distributors - Ahmedabad,1,64.0
Ashirwad Distributors - Ahmedabad,2,94.33333333333334
Ashirwad Distributors - Ahmedabad,3,100.0
Ashirwad Distributors - Nagpur,0,26.38888888888889
Ashirwad Distributors - Nagpur,1,44.44444444444444
Ashirwad Distributors - Nagpur,2,53.333333333333336
Ashirwad Distributors - Nagpur,3,69.16666666666667
Ashirwad Distributors - Nagpur,4,86.66666666666667
Ashirwad Distributors - Nagpur,5,93.88888888888889
Ashirwad Distributors - Nagpur,6,97.77777777777777
Ashirwad Distributors - Nagpur,7,99.16666666666667
Ashirwad Distributors - Nagpur,8,99.72222222222223
Ashirwad Distributors - Nagpur,9,100.0
Ashirwad Distributors - Raipur,0,18.333333333333332
Ashirwad Distributors - Raipur,1,60.55555555555555
Ashirwad Distributors - Raipur,2,78.88888888888889
Ashirwad Distributors - Raipur,3,91.66666666666666
Ashirwad Distributors - Raipur,4,96.66666666666667
Ashirwad Distributors - Raipur,5,99.72222222222223
Ashirwad Distributors - Raipur,6,100.0
Ashirwad Distributors - Surat,0,48.18181818181818
Ashirwad Distributors - Surat,1,82.42424242424242
Ashirwad Distributors - Surat,2,99.0909090909091
Ashirwad Distributors - Surat,3,100.0
Balaji Pharmatech - Vizag,0,27.0
Balaji Pharmatech - Vizag,1,57.99999999999999
Balaji Pharmatech - Vizag,2,86.66666666666667
Balaji Pharmatech - Vizag,3,98.33333333333333
Balaji Pharmatech - Vizag,4,99.66666666666667
Balaji Pharmatech - Vizag,5,100.0
DCA - Indore,0,36.41025641025641
DCA - Indore,1,63.589743589743584
DCA - Indore,2,84.1025641025641
DCA - Indore,3,98.2051282051282
DCA - Indore,4,100.0
DCA - Patna,0,26.190476190476193
DCA - Patna,1,70.47619047619048
DCA - Patna,2,94.52380952380952
DCA - Patna,3,100.0
DRK Enterprises,0,24.871794871794872
DRK Enterprises,1,68.46153846153847
DRK Enterprises,2,94.87179487179486
DRK Enterprises,3,99.48717948717949
DRK Enterprises,4,100.0
Desai,0,20.27777777777778
Desai,1,41.25
Desai,2,53.47222222222222
Desai,3,62.22222222222222
Desai,4,68.05555555555556
Desai,5,70.69444444444444
Desai,6,73.33333333333333
Desai,7,77.63888888888889
Desai,8,82.08333333333333
Desai,9,85.41666666666666
Desai,10,87.91666666666667
Desai,11,89.02777777777777
Desai,12,90.55555555555556
Desai,13,91.80555555555556
Desai,14,92.63888888888889
Desai,15,94.72222222222221
Desai,16,97.22222222222221
Desai,17,98.33333333333333
Desai,18,99.02777777777779
Desai,19,99.72222222222223
Desai,23,99.86111111111111
Desai,26,100.0
EC Agencies Goa,0,47.43589743589743
EC Agencies Goa,1,74.35897435897436
EC Agencies Goa,2,95.38461538461539
EC Agencies Goa,3,99.48717948717949
EC Agencies Goa,4,100.0
Eastern,0,12.36111111111111
Eastern,1,20.97222222222222
Eastern,2,25.972222222222225
Eastern,3,29.02777777777778
Eastern,4,31.666666666666664
Eastern,5,34.583333333333336
Eastern,6,40.13888888888889
Eastern,7,44.44444444444444
Eastern,8,47.36111111111111
Eastern,9,50.97222222222222
Eastern,10,53.19444444444444
Eastern,11,56.111111111111114
Eastern,12,58.75
Eastern,13,61.52777777777778
Eastern,14,64.44444444444444
Eastern,15,66.52777777777777
Eastern,16,69.02777777777777
Eastern,17,70.83333333333334
Eastern,18,72.36111111111111
Eastern,19,73.33333333333333
Eastern,20,76.38888888888889
Eastern,21,77.91666666666667
Eastern,22,79.30555555555556
Eastern,23,81.66666666666667
Eastern,24,83.33333333333334
Eastern,25,84.30555555555556
Eastern,26,86.11111111111111
Eastern,27,87.5
Eastern,28,88.33333333333333
Eastern,29,88.75
Eastern,30,89.16666666666667
Eastern,31,89.58333333333334
Eastern,32,90.0
Eastern,33,90.27777777777779
Eastern,34,90.97222222222221
Eastern,35,91.52777777777777
Eastern,36,92.08333333333333
Eastern,37,92.36111111111111
Eastern,38,92.63888888888889
Eastern,39,92.77777777777779
Eastern,49,93.05555555555556
Eastern,51,93.33333333333333
Eastern,52,93.88888888888889
Eastern,53,94.44444444444444
Eastern,54,94.72222222222221
Eastern,55,95.55555555555556
Eastern,56,95.83333333333334
Eastern,57,96.25
Eastern,58,96.52777777777779
Eastern,60,96.80555555555556
Eastern,61,97.08333333333333
Eastern,62,97.22222222222221
Eastern,63,97.77777777777777
Eastern,64,98.19444444444444
Eastern,65,98.47222222222223
Eastern,66,98.88888888888889
Eastern,67,99.30555555555556
Eastern,68,99.44444444444444
Eastern,69,99.58333333333333
Eastern,70,99.72222222222223
Eastern,71,99.86111111111111
Eastern,74,100.0
Ekdanta Pharmatech - Aurangabad,0,30.303030303030305
Ekdanta Pharmatech - Aurangabad,1,56.060606060606055
Ekdanta Pharmatech - Aurangabad,2,83.93939393939394
Ekdanta Pharmatech - Aurangabad,3,98.48484848484848
Ekdanta Pharmatech - Aurangabad,4,99.69696969696969
Ekdanta Pharmatech - Aurangabad,6,100.0
Ekdanta Pharmatech - Nashik,0,36.06060606060606
Ekdanta Pharmatech - Nashik,1,77.87878787878788
Ekdanta Pharmatech - Nashik,2,96.36363636363636
Ekdanta Pharmatech - Nashik,3,99.69696969696969
Ekdanta Pharmatech - Nashik,4,100.0
Kamal Health Distributors,0,98.22222222222223
Kamal Health Distributors,2,99.11111111111111
Kamal Health Distributors,3,99.55555555555556
Kamal Health Distributors,4,100.0
Mayapuri,0,0.5555555555555556
Mayapuri,1,7.5
Mayapuri,2,13.61111111111111
Mayapuri,3,16.666666666666664
Mayapuri,4,21.38888888888889
Mayapuri,5,28.333333333333332
Mayapuri,6,36.94444444444444
Mayapuri,7,44.72222222222222
Mayapuri,8,48.05555555555556
Mayapuri,9,51.388888888888886
Mayapuri,10,54.166666666666664
Mayapuri,11,56.111111111111114
Mayapuri,12,57.22222222222222
Mayapuri,13,58.611111111111114
Mayapuri,14,61.111111111111114
Mayapuri,15,63.888888888888886
Mayapuri,16,66.66666666666666
Mayapuri,17,70.55555555555556
Mayapuri,18,73.33333333333333
Mayapuri,19,75.55555555555556
Mayapuri,20,77.77777777777779
Mayapuri,21,78.61111111111111
Mayapuri,22,81.11111111111111
Mayapuri,23,82.77777777777777
Mayapuri,24,83.88888888888889
Mayapuri,25,84.72222222222221
Mayapuri,26,85.0
Mayapuri,27,87.22222222222223
Mayapuri,28,88.88888888888889
Mayapuri,29,90.27777777777779
Mayapuri,30,91.94444444444444
Mayapuri,31,93.33333333333333
Mayapuri,32,94.72222222222221
Mayapuri,33,95.27777777777777
Mayapuri,34,95.83333333333334
Mayapuri,35,96.38888888888889
Mayapuri,36,98.33333333333333
Mayapuri,37,98.88888888888889
Mayapuri,39,99.44444444444444
Mayapuri,44,100.0
Medicos,0,15.384615384615385
Medicos,1,33.84615384615385
Medicos,2,42.82051282051282
Medicos,3,63.84615384615384
Medicos,4,77.6923076923077
Medicos,5,86.15384615384616
Medicos,6,94.1025641025641
Medicos,7,98.71794871794873
Medicos,8,99.48717948717949
Medicos,9,99.74358974358975
Medicos,10,100.0
Muthu-MW,0,29.444444444444446
Muthu-MW,1,39.58333333333333
Muthu-MW,2,43.333333333333336
Muthu-MW,3,44.583333333333336
Muthu-MW,4,45.55555555555556
Muthu-MW,5,46.52777777777778
Muthu-MW,6,48.75
Muthu-MW,7,51.52777777777777
Muthu-MW,8,54.44444444444444
Muthu-MW,9,56.94444444444444
Muthu-MW,10,60.416666666666664
Muthu-MW,11,62.5
Muthu-MW,12,64.02777777777777
Muthu-MW,13,65.13888888888889
Muthu-MW,14,66.25
Muthu-MW,15,67.5
Muthu-MW,16,69.30555555555556
Muthu-MW,17,71.52777777777779
Muthu-MW,18,72.63888888888889
Muthu-MW,19,74.02777777777779
Muthu-MW,20,75.69444444444444
Muthu-MW,21,76.80555555555556
Muthu-MW,22,78.61111111111111
Muthu-MW,23,80.13888888888889
Muthu-MW,24,80.83333333333333
Muthu-MW,25,81.80555555555556
Muthu-MW,26,82.36111111111111
Muthu-MW,27,82.5
Muthu-MW,28,82.63888888888889
Muthu-MW,29,83.19444444444444
Muthu-MW,30,83.88888888888889
Muthu-MW,31,84.16666666666667
Muthu-MW,32,84.72222222222221
Muthu-MW,33,85.0
Muthu-MW,34,85.69444444444444
Muthu-MW,35,86.38888888888889
Muthu-MW,36,86.66666666666667
Muthu-MW,37,87.36111111111111
Muthu-MW,38,87.5
Muthu-MW,39,88.05555555555556
Muthu-MW,40,88.19444444444444
Muthu-MW,41,88.61111111111111
Muthu-MW,42,89.16666666666667
Muthu-MW,43,89.72222222222223
Muthu-MW,44,90.41666666666667
Muthu-MW,45,91.11111111111111
Muthu-MW,46,92.08333333333333
Muthu-MW,47,92.63888888888889
Muthu-MW,48,93.47222222222223
Muthu-MW,49,94.02777777777777
Muthu-MW,50,94.72222222222221
Muthu-MW,51,95.27777777777777
Muthu-MW,52,95.97222222222223
Muthu-MW,53,96.11111111111111
Muthu-MW,54,96.66666666666667
Muthu-MW,55,97.22222222222221
Muthu-MW,56,97.5
Muthu-MW,57,97.77777777777777
Muthu-MW,58,97.91666666666666
Muthu-MW,59,98.05555555555556
Muthu-MW,60,98.19444444444444
Muthu-MW,62,98.33333333333333
Muthu-MW,63,98.75
Muthu-MW,65,98.88888888888889
Muthu-MW,66,99.02777777777779
Muthu-MW,67,99.16666666666667
Muthu-MW,69,99.30555555555556
Muthu-MW,72,99.44444444444444
Muthu-MW,73,99.58333333333333
Muthu-MW,75,99.72222222222223
Muthu-MW,80,100.0
Patpadganj,0,38.47222222222222
Patpadganj,1,53.19444444444444
Patpadganj,2,57.22222222222222
Patpadganj,3,63.74999999999999
Patpadganj,4,70.83333333333334
Patpadganj,5,76.38888888888889
Patpadganj,6,79.86111111111111
Patpadganj,7,82.77777777777777
Patpadganj,8,84.86111111111111
Patpadganj,9,86.25
Patpadganj,10,88.05555555555556
Patpadganj,11,91.11111111111111
Patpadganj,12,92.63888888888889
Patpadganj,13,93.88888888888889
Patpadganj,14,95.55555555555556
Patpadganj,15,96.80555555555556
Patpadganj,16,97.77777777777777
Patpadganj,17,98.47222222222223
Patpadganj,18,99.02777777777779
Patpadganj,19,99.30555555555556
Patpadganj,20,99.44444444444444
Patpadganj,21,99.58333333333333
Patpadganj,22,99.86111111111111
Patpadganj,23,100.0
Pharmeasy Wholesale - Varanasi,0,26.666666666666668
Pharmeasy Wholesale - Varanasi,1,89.33333333333333
Pharmeasy Wholesale - Varanasi,2,99.33333333333333
Pharmeasy Wholesale - Varanasi,3,100.0
Sachdeva Medicals,0,11.481481481481481
Sachdeva Medicals,1,29.259259259259256
Sachdeva Medicals,2,51.48148148148148
Sachdeva Medicals,3,67.4074074074074
Sachdeva Medicals,4,84.81481481481481
Sachdeva Medicals,5,88.88888888888889
Sachdeva Medicals,6,92.22222222222223
Sachdeva Medicals,7,95.55555555555556
Sachdeva Medicals,8,98.14814814814815
Sachdeva Medicals,9,99.62962962962963
Sachdeva Medicals,10,100.0
Sachdeva Prayagraj,0,18.51851851851852
Sachdeva Prayagraj,1,84.44444444444444
Sachdeva Prayagraj,2,99.62962962962963
Sachdeva Prayagraj,3,100.0
Shreeji Distributors - Hyderabad,0,46.111111111111114
Shreeji Distributors - Hyderabad,1,62.5
Shreeji Distributors - Hyderabad,2,68.33333333333333
Shreeji Distributors - Hyderabad,3,70.83333333333334
Shreeji Distributors - Hyderabad,4,75.0
Shreeji Distributors - Hyderabad,5,77.77777777777779
Shreeji Distributors - Hyderabad,6,80.0
Shreeji Distributors - Hyderabad,7,81.38888888888889
Shreeji Distributors - Hyderabad,8,83.75
Shreeji Distributors - Hyderabad,9,84.72222222222221
Shreeji Distributors - Hyderabad,10,87.08333333333333
Shreeji Distributors - Hyderabad,11,88.33333333333333
Shreeji Distributors - Hyderabad,12,89.72222222222223
Shreeji Distributors - Hyderabad,13,90.97222222222221
Shreeji Distributors - Hyderabad,14,91.94444444444444
Shreeji Distributors - Hyderabad,15,93.61111111111111
Shreeji Distributors - Hyderabad,16,95.27777777777777
Shreeji Distributors - Hyderabad,17,95.97222222222223
Shreeji Distributors - Hyderabad,18,96.52777777777779
Shreeji Distributors - Hyderabad,19,97.36111111111111
Shreeji Distributors - Hyderabad,20,97.91666666666666
Shreeji Distributors - Hyderabad,21,98.47222222222223
Shreeji Distributors - Hyderabad,22,98.88888888888889
Shreeji Distributors - Hyderabad,23,99.02777777777779
Shreeji Distributors - Hyderabad,24,99.16666666666667
Shreeji Distributors - Hyderabad,25,99.30555555555556
Shreeji Distributors - Hyderabad,26,99.58333333333333
Shreeji Distributors - Hyderabad,28,99.72222222222223
Shreeji Distributors - Hyderabad,29,100.0
Simba,0,6.805555555555555
Simba,1,17.083333333333332
Simba,2,22.083333333333332
Simba,3,24.86111111111111
Simba,4,26.805555555555554
Simba,5,28.61111111111111
Simba,6,30.833333333333336
Simba,7,33.19444444444444
Simba,8,35.833333333333336
Simba,9,38.75
Simba,10,42.36111111111111
Simba,11,45.83333333333333
Simba,12,49.861111111111114
Simba,13,53.19444444444444
Simba,14,55.41666666666667
Simba,15,56.666666666666664
Simba,16,58.88888888888889
Simba,17,60.416666666666664
Simba,18,62.083333333333336
Simba,19,64.02777777777777
Simba,20,66.25
Simba,21,68.61111111111111
Simba,22,70.41666666666667
Simba,23,71.80555555555556
Simba,24,73.61111111111111
Simba,25,75.83333333333333
Simba,26,78.05555555555556
Simba,27,79.16666666666666
Simba,28,80.41666666666667
Simba,29,81.66666666666667
Simba,30,83.05555555555556
Simba,31,83.88888888888889
Simba,32,85.13888888888889
Simba,33,86.11111111111111
Simba,34,86.80555555555556
Simba,35,87.36111111111111
Simba,36,88.19444444444444
Simba,37,88.61111111111111
Simba,38,88.88888888888889
Simba,39,89.02777777777777
Simba,40,89.72222222222223
Simba,41,90.0
Simba,42,90.13888888888889
Simba,43,90.83333333333333
Simba,44,91.25
Simba,45,91.94444444444444
Simba,46,92.08333333333333
Simba,47,92.22222222222223
Simba,49,92.5
Simba,50,92.63888888888889
Simba,51,92.77777777777779
Simba,69,93.05555555555556
Simba,70,93.61111111111111
Simba,71,94.30555555555556
Simba,72,94.72222222222221
Simba,73,95.69444444444444
Simba,74,95.97222222222223
Simba,75,96.38888888888889
Simba,76,96.52777777777779
Simba,77,97.22222222222221
Simba,78,97.63888888888889
Simba,79,97.77777777777777
Simba,80,98.19444444444444
Simba,81,98.88888888888889
Simba,82,99.02777777777779
Simba,83,99.30555555555556
Simba,84,99.44444444444444
Simba,85,99.86111111111111
Simba,86,100.0
Sri Alagu Pharma,0,8.61111111111111
Sri Alagu Pharma,1,21.38888888888889
Sri Alagu Pharma,2,26.944444444444443
Sri Alagu Pharma,3,31.944444444444443
Sri Alagu Pharma,4,40.833333333333336
Sri Alagu Pharma,5,47.22222222222222
Sri Alagu Pharma,6,56.388888888888886
Sri Alagu Pharma,7,62.22222222222222
Sri Alagu Pharma,8,68.05555555555556
Sri Alagu Pharma,9,73.05555555555556
Sri Alagu Pharma,10,80.0
Sri Alagu Pharma,11,85.0
Sri Alagu Pharma,12,89.72222222222223
Sri Alagu Pharma,13,92.22222222222223
Sri Alagu Pharma,14,94.16666666666667
Sri Alagu Pharma,15,95.83333333333334
Sri Alagu Pharma,16,96.94444444444444
Sri Alagu Pharma,17,98.33333333333333
Sri Alagu Pharma,18,99.16666666666667
Sri Alagu Pharma,19,99.72222222222223
Sri Alagu Pharma,26,100.0
Varma Medicals,0,43.888888888888886
Varma Medicals,1,60.416666666666664
Varma Medicals,2,65.55555555555556
Varma Medicals,3,71.25
Varma Medicals,4,76.52777777777777
Varma Medicals,5,81.80555555555556
Varma Medicals,6,86.66666666666667
Varma Medicals,7,90.83333333333333
Varma Medicals,8,93.61111111111111
Varma Medicals,9,95.55555555555556
Varma Medicals,10,97.77777777777777
Varma Medicals,11,99.02777777777779
Varma Medicals,12,99.72222222222223
Varma Medicals,13,100.0
Venkatesha,0,44.888888888888886
Venkatesha,1,87.1111111111111
Venkatesha,2,99.11111111111111
Venkatesha,3,100.0
